NODE_NM,위도,경도
한국생산기술연구원,35.226975,126.848175
한국생산기술연구원,35.22659444,126.8475333
한국전자통신연구원,35.22576944,126.8447194
한국전자통신연구원,35.22558056,126.8445056
우편집중국,35.2179,126.8513194
우편집중국,35.21756667,126.8511722
첨단우리은행,35.21783889,126.8453528
첨단우리은행,35.21754167,126.8451472
산수오거리,35.15560278,126.931575
주월주택단지(남),35.13528333,126.8984194
국립아시아문화전당(구.도청),35.148679,126.91785
쌍암공원,35.22193333,126.8411472
쌍암공원,35.22199167,126.8409111
학2마을아파트,35.13159444,126.9287611
풍암사거리(서),35.12163056,126.8591194
백운초교(남),35.13644167,126.9008917
현진기업,35.23437778,126.8605972
전남과학대학포스트비,35.23409722,126.8641667
전남과학대학포스트비,35.23397222,126.8642361
풍기산업,35.23506389,126.8671611
용전사거리(북),35.236854,126.893648
연제새한아파트,35.19938333,126.8699111
연제새한아파트,35.19935556,126.8698278
연제주공아파트,35.20327778,126.8703167
연제주공아파트,35.203525,126.8704694
양산초교,35.20629444,126.8709639
명상의집,35.216178,126.902816
일곡초교,35.20636389,126.8977472
일곡초교,35.20685556,126.8976028
월산사거리,35.146799,126.903628
월산사거리,35.146553,126.903857
첨단금호아파트,35.22085278,126.8362083
첨단초교,35.21906111,126.8372444
임곡교,35.20766667,126.7520833
광일고,35.21991111,126.742975
가정,35.21653611,126.7528389
임곡동행정복지센터,35.219175,126.7446306
임곡역,35.21875556,126.74575
원임곡,35.22063333,126.7408917
임곡정수장,35.215125,126.74675
임동교,35.229605,126.733384
임동농협,35.162948,126.8972
임동농협,35.162492,126.897635
