학교명,주소,위도,경도
문정초등학교,광주광역시 북구 대천로169번길 7. 문정초등학교 (문흥동),35.1890986,126.9214272
삼각초등학교,광주광역시 북구 송해로 21. 삼각초등학교 (삼각동),35.2005793,126.9004944
율곡초등학교,광주광역시 동구 밤실로 142. 율곡초등학교 (산수동),35.16038,126.9359265
일곡초등학교,광주광역시 북구 설죽로 530. 일곡동 (일곡초등학교),35.2073182,126.8983733
동림초등학교,광주광역시 북구 동림용산로 7. (동림동. 동림초등학교) (동림동),35.1874031,126.8676764
태봉초등학교,광주광역시 북구 청계로 33. 태봉초등학교 (용봉동),35.1762658,126.8923149
서일초등학교,광주광역시 북구 설죽로 590(일곡동),35.2121271,126.8986397
일동초등학교,광주광역시 북구 일곡택지로 45. 일동초등학교 (일곡동),35.2058183,126.8935127
용주초등학교,광주광역시 북구 용주로 15. 용주초등학교 (용봉동),35.181581,126.8994338
일신초등학교,광주광역시 북구 일곡마을로 187. 일신초등학교 (일곡동),35.2111233,126.8951513
하백초등학교,광주광역시 북구 하백로5번길 10. 하백초등학교 (매곡동),35.1885047,126.8893483
한울초등학교,광주광역시 북구 유림로160번길 15(동림동. 한울초등학교),35.1761111,126.8661111
신용초등학교,광주광역시 북구 첨단연신로 232-10(신용동),35.2136097,126.8681303
전남대학교사범대학부설중학교,광주광역시 북구 용봉로 45. 전남대학교사범대학부설중학교 (용봉동. 전남대학교),35.1727869,126.9032851
신용중학교,광주광역시 북구 첨단연신로133번길 32(신용동),35.2116677,126.862929
각화중학교,광주광역시 북구 군왕로 234(각화동),35.1813406,126.937792
일동중학교,광주광역시 북구 일곡택지로 10(일곡동. 일동중학교),35.202541,126.894929
지산중학교,광주광역시 북구 양산택지로 130(본촌동),35.2167072,126.8814565
일신중학교,광주광역시 북구 일곡택지로 107(일곡동. 일신중학교),35.2112206,126.893524
무등중학교,광주광역시 동구 지원로5번길 12. 무등중학교 (소태동),35.1249119,126.9341915
광주북성중학교,광주광역시 북구 금남로 61. 광주북성중학교 (유동),35.15936,126.9029389
광주충장중학교,광주광역시 동구 경양로379번길 19(산수동. 광주충장중학교),35.1563985,126.9283921
운림중학교,광주광역시 동구 의재로 137. (운림동. 운림중학교) (운림동),35.1334389,126.9421488
두암중학교,광주광역시 북구 밤실로208번길 23(두암동.두암중학교),35.1660033,126.9351256
문산중학교,광주광역시 북구 대천로 174(문흥동. 문산중학교),35.1893208,126.9238158
문화중학교,광주광역시 북구 면앙로 111(우산동.문화중학교),35.1782388,126.9238716
문흥중학교,광주광역시 북구 능안로 2(문흥동),35.1858637,126.9180425
신광중학교,광주광역시 북구 면앙로165번길 80(두암동.신광중학교),35.1791555,126.9318986
양산중학교,광주광역시 북구 하서로229번길 30. 양산중학교 (양산동),35.1961866,126.8750429
용봉중학교,광주광역시 북구 서하로274번길 33(오치동. 용봉중학교),35.1856266,126.9110116
우산중학교,광주광역시 북구 신촌로 22(오치동),35.1894186,126.9126854
운암중학교,광주광역시 북구 서강로131번길 24. 운암중학교 (운암동),35.1844038,126.8736869
일곡중학교,광주광역시 북구 설죽로 570(일곡동. 일곡중학교),35.209776,126.898509
광주경신중학교,광주광역시 북구 금호로40번길 40. 광주경신중학교 (용봉동),35.1755441,126.8912915
고려중학교,광주광역시 북구 설죽로 369. 고려중학교 (삼각동),35.192653,126.897402
