,어린이집명,주소,위도,경도
141,미래어린이집,전라북도 전주시 완산구 서신천변1길 16 (서신동),35.8266496,127.1135975
142,미미어린이집,전라북도 전주시 완산구 감나무4길 27 (서신동),35.8314401,127.1197334
143,미소린어린이집,"전라북도 전주시 덕진구 오공로 70 101동 102호(중동,우미린1단지)",35.8355499,127.1417709
144,미소짓는어린이집,"전라북도 전주시 완산구 신촌3길 1 105동 102호(중화산동2가, 우성중산타운)",35.8165547,127.1176147
145,미스바어린이집,"전라북도 전주시 덕진구 쪽구름5길 5 102동 107호(고랑동, 명성아파트)",35.8767135,127.0780891
146,미키어린이집,"전라북도 전주시 완산구 삼천천변1길 45 관리동(삼천동1가, 흥건)",35.7943862,127.1158865
147,민들레어린이집,"전라북도 전주시 완산구 신촌3길 1 103동 101호(중화산동2가, 우성중산타운)",35.8165547,127.1176147
148,바울어린이집,전라북도 전주시 완산구 용머리로 228 (서완산동 1가),35.8077022,127.133231
149,바하어린이집,전라북도 전주시 덕진구 거북바우로 53 (금암동),35.8388605,127.1425488
150,반올림어린이집,"전라북도 전주시 완산구 효자동2가 세내로 239 관리동(효자동2가, 포스코더샵1차)",35.810722,127.1090879
151,베르디움어린이집,"전라북도 전주시 덕진구 오공로 71 108동 103호(중동, 호반베르디움아파트)",35.8355499,127.1417709
152,베베숲어린이집,전라북도 전주시 덕진구 덕진동2가 가련산로 24 영무예다음아파트 관리사무소 1층,35.8404359,127.1102883
153,베이비스쿨24시어린이집,"전라북도 전주시 완산구 새터로 63 201동 101호(서신동, 동아2차)",35.8359489,127.1127525
154,베이비팰리움어린이집,"전라북도 전주시 완산구 호암로 40 207동 101호(효자동2가, 골든팰리스휴먼시아)",35.8085729,127.099382
155,벼리어린이집,전라북도 전주시 덕진구 호성동1가 호성로 138 진흥더블파크2단지 관리소내,35.8641884,127.146944
156,별나라어린이집,"전라북도 전주시 덕진구 송천동2가 붓내3길 29 101동 102호(송천동2가, 주공아파트)",35.8680209,127.1252793
157,별님어린이집,전라북도 전주시 완산구 효자동3가 척동10길 11 1층,35.8248545,127.1012555
158,별빛어린이집,"전라북도 전주시 덕진구 소리로 179 203동 106호(호성동1가, 주공아파트)",35.8586341,127.1506453
159,별초롱어린이집,"전라북도 전주시 완산구 모악로 4651 105동 102호(평화동2가, 동도미소드림)",35.7858364,127.1278923
160,병아리어린이집,"전라북도 전주시 완산구 모악로 4685 103동 112호(평화동2가, 우미)",35.7882594,127.129399
161,보드미어린이집,"전라북도 전주시 덕진구 솔내로 142 103동 103호(송천동1가, 송천신일)",35.862437,127.127922
162,보물섬어린이집,"전라북도 전주시 완산구 서곡로 8 관리동(효자동3가, 서곡주공)",35.8313795,127.0961244
163,복지어린이집,"전라북도 전주시 완산구 평화동1가 덕적골2길 22 관리동(평화동1가, 평화주공1단지)",35.7969464,127.1421962
164,브레인어린이집,전라북도 전주시 완산구 소태정5길 18-7 1층(효자동2가),35.8041371,127.0986986
165,블루밍어린이집,"전라북도 전주시 덕진구 안덕원3길 10 1동 102호(우아동3가, 럭키우아)",35.8445244,127.1638873
166,비전어린이집,전라북도 전주시 덕진구 인후동1가 견훤로 333 위브어울림 아파트 관리동,35.841247,127.153749
167,비타민어린이집,"전라북도 전주시 덕진구 솔내6길 7 102동 104호(송천동1가, 영창드림맨션)",35.8589386,127.1226409
168,비테어린이집,전라북도 전주시 완산구 평화2길 13 (평화동2가),35.7820051,127.1343662
169,빛뜨란어린이집,"전라북도 전주시 완산구 강변로 220-16 2동 101호(효자동1가, 삼호)",35.8095314,127.1137512
170,뽀로로어린이집,전라북도 전주시 완산구 전룡3길 11 (서신동),35.82616429999999,127.1179434
171,뽀로로와친구들어린이집,"전라북도 전주시 덕진구 견훤로 333 118동 104호(인후동1가, 두산위브)",35.841247,127.153749
172,뽀뽀뽀어린이집,전라북도 전주시 덕진구 송천동2가 사근1길 11 현대3차아파트 306동 103호,35.8678266,127.1284734
173,뿡뿡이어린이집,"전라북도 전주시 완산구 평화로 95 101동 106호(평화동2가, 호반리젠시빌)",35.78564009999999,127.1323649
174,사과나무어린이집,"전라북도 전주시 완산구 당산로 43 105동 104호(서신동, 제일비사벌)",35.8327806,127.1131485
175,사랑가득어린이집,"전라북도 전주시 완산구 서곡로 22 102동 102호(효자동3가, 서곡두산)",35.8307749,127.098144
176,사랑나무어린이집,"전라북도 전주시 완산구 새터로 95 113동 101호(서신동, 동아한일)",35.8362568,127.1177841
177,사랑샘어린이집,"전라북도 전주시 완산구 용리로 179 103동 102호(삼천동1가, 세창짜임)",35.7991591,127.1275033
178,사랑숲어린이집,"전라북도 전주시 완산구 신봉로 74 나동 102호(효자동1가, 성원골드맨션)",35.8089446,127.1221422
179,사랑어린이집,전라북도 전주시 덕진구 덕용1길 53-3,35.8709756,127.0808481
180,사랑열매어린이집,"전라북도 전주시 덕진구 두간6길 9 101동 106호(송천동1가, 케이제이라미안)",35.8625093,127.1262172
181,사랑이레어린이집,전라북도 전주시 완산구 서곡1길 20-8 (효자동3가),35.8360928,127.0996777
182,사랑해어린이집,"전라북도 전주시 덕진구 붓내3길 29 126동 104호(송천동2가, 뜨란채1차아파트)",35.8680209,127.1252793
183,사랑화수분어린이집,"전라북도 전주시 완산구 소태정로 1 관리동(효자동2가, 휴먼시아아이린)",35.8063056,127.0968392
184,사임당어린이집,전라북도 전주시 덕진구 팽나무4길 26 (인후동1가),35.834147,127.1544184
185,산들어린이집,"전라북도 전주시 완산구 양지2길 10 113동 103호(평화동2가, 동신)",35.79203930000001,127.1230773
186,살구나무어린이집,"전라북도 전주시 완산구 평화로 95 103동 106호(평화동2가, 호반리젠시빌)",35.78564009999999,127.1323649
187,삼천남양어린이집,"전라북도 전주시 완산구 삼천천변1길 32 관리동(삼천동1가, 남양)",35.7945295,127.1137278
188,삼천아기사랑어린이집,전라북도 전주시 완산구 삼천동1가 송정중앙로 19 (삼천동1가),35.8016791,127.1203661
189,상록어린이집,전라북도 전주시 완산구 우전로 251 (효자동2가),35.816959,127.1016079
190,상원어린이집,전라북도 전주시 완산구 천잠로 545-7 (효자동3가),35.8331204,127.0953714
191,새나라키즈어린이집,전라북도 전주시 완산구 안터2길 29 (서신동),35.8280442,127.1174224
192,새들어린이집,전라북도 전주시 완산구 공북로 38-3 (태평동),35.8252169,127.1361804
193,새봄어린이집,"전라북도 전주시 덕진구 틀못4길 33 관리동 보육시설(장동, 엘에이치이노팰리스아파트)",35.8459113,127.0603153
194,새빛어린이집,전라북도 전주시 완산구 신봉로 4 (효자동1가),35.8100318,127.1156101
195,새소망어린이집,"전라북도 전주시 덕진구 붓내3길 29 122동 104호(송천동2가, 주공아파트)",35.8680209,127.1252793
196,새싹어린이집,전라북도 전주시 완산구 양지3길 34-4 (평화동2가),35.7888197,127.1200676
197,새한어린이집,"전라북도 전주시 덕진구 벚꽃로 57 112동 102호(진북동, 우성)",35.8308486,127.1340884
198,새힘어린이집,"전라북도 전주시 덕진구 진버들3길 8-3 102동 108호(인후동1가, 진버들마을부영1차아파트)",35.8360312,127.162353
199,색동어린이집,"전라북도 전주시 완산구 당산로 43 관리동2층(서신동, 제일비사벌)",35.8327806,127.1131485
200,샛별어린이집,전라북도 전주시 덕진구 용흥길 26 (송천동2가),35.8740842,127.1115279
201,샛별재능어린이집,전라북도 전주시 덕진구 조경단로 18-1,35.8361172,127.1371702
202,서곡한빛어린이집,"전라북도 전주시 완산구 서곡로 22 105동 101호(효자동3가, 서곡두산)",35.8307749,127.098144
203,서곡해뜰어린이집,전라북도 전주시 완산구 원서곡길 54-1 (효자동3가),35.8326063,127.0940059
204,서신어린이집,전라북도 전주시 완산구 감나무로 15 (서신동),35.8291287,127.1202846
205,서신피노키오어린이집,"전라북도 전주시 완산구 새터로 95 120동 102호(서신동, 동아한일)",35.8362568,127.1177841
206,서진우리어린이집,전라북도 전주시 완산구 평화동1가 평화18길 11,35.79326289999999,127.1350594
207,서호또래어린이집,"전라북도 전주시 덕진구 송천동1가 송천로 31 105동 104호(송천동1가, 서호1차아파트)",35.85563339999999,127.1180025
208,서희스타어린이집,전라북도 전주시 완산구 효자동2가 홍산1길 21 서희스타힐스 관리동내,35.81486,127.1064606
209,성산어린이집,전라북도 전주시 완산구 천경로 7 전주성산교회1층(동서학동),35.8070565,127.1530005
210,성원가정어린이집,"전라북도 전주시 완산구 새터로 60 202동 102호(서신동, 광진장미)",35.834914,127.113142
211,성원어린이집,"전라북도 전주시 완산구 서신천변11길 22 관리동(서신동, 성원)",35.8306086,127.1113376
212,성품바른어린이집,전라북도 전주시 덕진구 송천동2가 세병로 85 502동 107호(에코시티 데시앙아파트),35.873171,127.134232
213,성품좋은어린이집,전라북도 전주시 덕진구 천마산로 100 송천진흥더블파크 단지내 관리동 보육시설 (송천동1가),35.863938,127.1323515
214,세븐팰리스어린이집,전라북도 전주시 완산구 효자동2가 우전로 180 세븐팰리스아파트 관리동,35.810546,127.1026436
215,세원어린이집,"전라북도 전주시 덕진구 호성동1가 호성1길 29 나동 107호(호성동1가, 신동아)",35.8559629,127.1534926
216,세창어린이집,"전라북도 전주시 완산구 용리로 179 103동 103호(삼천동1가, 세창짜임)",35.7991591,127.1275033
