,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치,주소,위도,경도
141,태평양주유소,1,5,1,3,1,1.408,전북 전주시 덕진구 전진로 54 (산정동),35.8421653,127.1746824
142,전주나들목주유소,2,3,1,5,4,3.183,전북 전주시 덕진구  온고을로 757 (반월동),35.8717109,127.0628728
143,동산제일주유소,3,2,1,5,5,3.719,전북 전주시 덕진구  쪽구름3길 25-48 (동산동),35.8740041,127.0789926
144,양지주유소,2,5,1,4,4,3.119,전북 전주시 완산구 구이로 2011,35.7774017,127.1284523
145,SK에너지㈜ 노송주유소,1,5,1,1,1,1.14,전북 전주시 완산구 아중로 55 (중노송동),35.8232762,127.156456
146,(유)오송주유소,1,4,1,4,3,2.513,전북 전주시 덕진구 동부대로 1256,35.8702414,127.1094945
147,SK에너지㈜ 은벽셀프주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 안덕원로 318 (인후동1가),35.8375835,127.1617228
148,태정주유소,4,4,1,5,5,3.857,전북 전주시 덕진구 동부대로 1520 (고랑동),35.8802665,127.087475
149,유진주유소,1,1,1,5,3,2.542,전북 전주시 덕진구 원만성로 45 (팔복동3가),35.8533536,127.0851191
150,통큰셀프주유소,1,1,1,5,3,2.542,전북 전주시 덕진구 기린대로 950 (동산동),35.8650947,127.0816867
151,감수리주유소,2,2,1,5,2,2.142,전북 전주시 덕진구 감수길 35 (팔복동4가),35.8655321,127.1002971
152,북전주주유소,1,2,1,5,2,2.074,전북 전주시 덕진구 기린대로 911 (팔복동2가),35.8554553,127.095419
153,시티주유소,1,5,1,1,2,1.643,전북 전주시 덕진구 백제대로 629 (금암동),35.8427264,127.1355278
154,은일주유소,3,5,1,5,2,2.315,전북 전주시 완산구 쑥고개로 174,35.7958359,127.086404
155,삼천주유소,1,3,1,1,1,1.07,전북 전주시 완산구 성지산로 37,35.8008146,127.122075
156,(유)피노키오주유소,1,1,1,1,1,1,전북 전주시 완산구 백제대로 341 (중화산동2가),35.8231163,127.1253753
157,혁신주유소,2,2,1,5,4,3.148,전북 전주시 덕진구 온고을로 739 (반월동),35.8713998,127.067245
158,서전주주유소,2,5,1,5,1,1.744,전북 전주시 완산구 콩쥐팥쥐로 1613,35.8251019,127.0757553
159,동양주유소,5,5,5,5,5,5,전북 전주시 덕진구 전미로 231 (전미동2가),35.8884969,127.1051035
160,바울주유소,1,3,1,1,1,1.07,전북 전주시 완산구 전라감영로 4 (다가동2가),35.81308,127.1428548
161,(유)백석주유소,5,5,3,5,4,3.977,전북 전주시 덕진구 전미로 186 (전미동2가),35.8855158,127.1084198
162,남양주유소,2,2,1,5,3,2.645,전북 전주시 덕진구  반룡2길 8 (팔복동2가),35.8599938,127.0914689
163,샘터주유소,1,4,1,2,3,2.245,전북 전주시 덕진구 호성로 20 (우아동3가),35.8539324,127.1527514
164,흥국주유소,1,3,1,5,4,3.115,전북 전주시 덕진구 기린대로 961 (여의동),35.8474865,127.0742214
165,세진셀프주유소,1,1,1,5,3,2.542,전라북도 전주시 덕진구  기린대로 674 (팔복동2가),35.8583835,127.0857998
166,상림주유소,3,5,1,5,5,3.824,전북 전주시 완산구 콩쥐팥쥐로 1560,35.824755,127.0698097
