학교명,주소,위도,경도
약사초등학교,울산광역시 중구 화합로 478(약사동. 약사초등학교),35.5675895,129.3339275
약수초등학교,울산광역시 북구 약수8길 50(중산동. 약수초등학교),35.6477263,129.3419091
양사초등학교,울산광역시 중구 장춘로 95. 양사초등학교 (교동. 양사초등학교),35.5574072,129.3189164
연암초등학교,울산광역시 북구 두부곡4길 35(연암동),35.58593,129.3697292
염포초등학교,울산광역시 북구 염포로 667(염포동.염포초등학교),35.5335476,129.3916186
옥성초등학교,울산광역시 중구 옥교11길 50(학성동.옥성초등학교),35.5528486,129.3345791
우정초등학교,울산광역시 중구 평동길 40(우정동. 우정초등학교),35.5602638,129.3070537
울산초등학교,울산광역시 중구 종가5길 30. . (유곡동. 울산초등학교),35.5619534,129.2995838
울산양정초등학교,울산광역시 북구 양정2길 11. 울산양정초등학교 (양정동. 양정초등학교),35.5454893,129.3862134
이화초등학교,울산광역시 북구 화정4길 40(중산동.이화초등학교),35.661447,129.3442974
일산초등학교,울산광역시 동구 진성12길 11(일산동. 일산초등학교),35.5054115,129.425822
전하초등학교,울산광역시 동구 바드래길 55(전하동. 전하초등학교),35.5154659,129.4277937
주전초등학교,울산광역시 동구 동해안로 575(주전동. 주전초등학교),35.5577392,129.4569009
천곡초등학교,울산광역시 북구 천곡길 138천곡초등학교 (천곡동),35.6396993,129.3304937
태화초등학교,울산광역시 중구 평동길 25(유곡동. 태화초등학교),35.5587329,129.3061023
평산초등학교,울산광역시 중구 평산로 25(약사동. 평산초등학교),35.56918,129.3379395
학성초등학교,울산광역시 중구 해오름1길 15. 학성초등학교 (반구동),35.560085,129.342303
함월초등학교,울산광역시 중구 학성1길 25(복산동. 함월초등학교),35.5590766,129.3299819
호계초등학교,울산광역시 북구 동대13길 20. 호계초등학교 (호계동. 호계초등학교),35.6300621,129.3566582
화암초등학교,울산광역시 동구 화문로 55(방어동. 화암초등학교),35.4840805,129.4156568
화정초등학교,울산광역시 동구 대송9길 55(화정동. 화정초등학교),35.5019895,129.4206975
화진초등학교,울산광역시 동구 방어진순환도로 543. 화진초등학교 (방어동),35.4914409,129.4254891
연암초등학교효문분교장,울산광역시 북구 송도길 84(효문동. 효문초등학교),35.5669588,129.3686868
양지초등학교,울산광역시 동구 양지6길 33(화정동),35.4973289,129.4212272
매산초등학교,울산광역시 북구 매산로 53(매곡동. 매산초등학교),35.6442549,129.3605463
동대초등학교,울산광역시 북구 신천로 36(신천동. 동대초등학교),35.6410884,129.3496308
외솔초등학교,울산광역시 중구 종가로 700. 외솔초등학교 (서동),35.5838677,129.3427149
고헌초등학교,울산광역시 북구 화동로 129. 고헌초등학교 (송정동. 초등학교),35.6021501,129.3693622
은월초등학교,울산광역시 북구 당수골23길 7. 은월초등학교 (호계동),35.6346938,129.3646775
고헌중학교,울산광역시 북구 박상진2로 81(화봉동. 송정중학교),35.6000112,129.3708829
강동중학교,울산광역시 북구 산음12길 10(산하동. 강동중학교),35.6295185,129.4350911
상안중학교,울산광역시 북구 양지길 5(상안동. 상안중학교),35.6279785,129.3306052
남목중학교,울산광역시 동구 방어진순환도로 1155(서부동. 남목중학교),35.5387686,129.4229602
남외중학교,울산광역시 중구 남외3길 50(남외동.남외중학교),35.56632,129.348466
농소중학교,울산광역시 북구 호계7길 13(호계동. 농소중학교),35.6257014,129.3552974
다운중학교,울산광역시 중구 다운로 178(다운동. 다운중학교),35.5677696,129.270048
달천중학교,울산광역시 북구 가재길 51(달천동. 달천중학교),35.6306896,129.3304273
대송중학교,울산광역시 동구 학문로 90(화정동),35.5045267,129.4196224
매곡중학교,울산광역시 북구 매곡1로 59(매곡동. 매곡중학교),35.644755,129.349408
명덕여자중학교,울산광역시 동구 학문로 40(화정동. 명덕여자중학교),35.5044393,129.4241277
무룡중학교,울산광역시 중구 화합로 456무룡중학교 (약사동),35.5658748,129.3354954
방어진중학교,울산광역시 동구 학문로 100(화정동.방어진중학교),35.5045781,129.4179894
성안중학교,울산광역시 중구 성안2길 30(성안동. 성안중학교),35.5728309,129.3180008
연암중학교,울산광역시 북구 사청1길 12.(연암동. 연암중학교),35.5856624,129.3600977
